"source","medium","campaign","visit_date","visitors_count"
telegram,cpp,prof-frontend,"2023-06-10",1
instagram,social,hexlet-blog,"2023-06-10",1
vk,social,reshenie-zadach--horoshiy-sposob-zakrepit,"2023-06-10",1
telegram,social,glavnye-instrumenty--servisy-i-podhody,"2023-06-10",1
telegram,social,my-znaem-dovolno-mnogo-o-strukturah-dan,"2023-06-10",1
telegram,social,mdtrue*chtenie-chuzhogo-koda--odin-iz-o,"2023-06-10",1
telegram,cpp,prof-data-analytics,"2023-06-10",1
twitter,social,hexlet-blog,"2023-06-10",1
telegram,cpp,intensive-python,"2023-06-10",1
telegram,social,mdtrue**razrabotchik-heksleta-andrey-m,"2023-06-10",1
vk,cpc,yaintern,"2023-06-10",1
telegram,social,hexlet-blog,"2023-06-10",1
vk,cpc,freemium,"2023-06-10",1
telegram,social,nachinayuschie-razrabotchiki-chasto-zaglyadyvayu,"2023-06-10",1
search.ukr.net,organic,,"2023-06-10",1
telegram,social,typescript,"2023-06-10",1
telegram,cpp,prof-python,"2023-06-10",1
